pp/msg_num,pp/loc/0,pp/loc/1,,,,pp/loc/2,pp/wq,pp/id,pp/time,pp/ws,,total,rcvd
474,41.71436833,-86.24192833,circle1,brown,474,220.9,45/70,b827ebf014ce,1539093772,-67,,,
475,41.714375,-86.24194333,circle1,brown,475,223.4,44/70,b827ebf014ce,1539093775,-64,,,
476,41.71437833,-86.24195667,circle1,brown,476,225.6,45/70,b827ebf014ce,1539093778,-66,,,
477,41.71437667,-86.24195,circle1,brown,477,227.7,46/70,b827ebf014ce,1539093781,-69,,,
478,41.71438333,-86.24194167,circle1,brown,478,229.5,45/70,b827ebf014ce,1539093784,-66,,,
479,41.714385,-86.24194667,circle1,brown,479,230.9,45/70,b827ebf014ce,1539093787,-65,,,
480,41.71438,-86.241955,circle1,brown,480,233.3,42/70,b827ebf014ce,1539093791,-69,,,
481,41.71438333,-86.24197833,circle1,brown,481,235.5,35/70,b827ebf014ce,1539093794,-81,,,
482,41.71443,-86.242025,circle1,brown,482,236.3,28/70,b827ebf014ce,1539093797,-79,,,
483,41.71445833,-86.242055,circle1,brown,483,237.6,31/70,b827ebf014ce,1539093800,-80,,,
484,41.71446,-86.24207333,circle1,brown,484,238.7,35/70,b827ebf014ce,1539093803,-72,,,
485,41.71448333,-86.24211333,circle1,brown,485,237.1,28/70,b827ebf014ce,1539093806,-83,,,
486,41.71449333,-86.24214667,circle1,brown,486,235.1,35/70,b827ebf014ce,1539093809,-80,,,
487,41.714495,-86.24218,circle1,brown,487,235,27/70,b827ebf014ce,1539093813,-77,,,
488,41.71451,-86.24221333,circle1,brown,488,237.1,37/70,b827ebf014ce,1539093816,-84,,,
489,41.71452333,-86.24223,circle1,brown,489,233.2,34/70,b827ebf014ce,1539093819,-76,,,
490,41.714515,-86.242245,circle1,brown,490,227.1,36/70,b827ebf014ce,1539093822,-74,,,
491,41.71450167,-86.24225333,circle1,brown,491,224.9,32/70,b827ebf014ce,1539093825,-81,,,
492,41.714495,-86.24227167,circle1,brown,492,227.4,34/70,b827ebf014ce,1539093828,-76,,,
493,41.71448667,-86.242295,circle1,brown,493,230.3,36/70,b827ebf014ce,1539093831,-74,,,
494,41.71448167,-86.24231833,circle1,brown,494,232.1,33/70,b827ebf014ce,1539093835,-83,,,
495,41.71448167,-86.24232833,circle1,brown,495,234.5,35/70,b827ebf014ce,1539093838,-75,,,
496,41.71449333,-86.242325,circle1,brown,496,236.3,29/70,b827ebf014ce,1539093841,-80,,,
497,41.71449333,-86.24236,circle1,brown,497,238.5,20/70,b827ebf014ce,1539093844,-77,,,
498,41.71452833,-86.24242,circle1,brown,498,240.1,29/70,b827ebf014ce,1539093847,-82,,,
499,41.71457167,-86.2425,circle1,brown,499,239.5,23/70,b827ebf014ce,1539093850,-80,,,
500,41.714605,-86.24259,circle1,brown,500,237.7,25/70,b827ebf014ce,1539093853,-84,,,
501,41.71464,-86.24265833,circle1,brown,501,235.5,32/70,b827ebf014ce,1539093856,-79,,,
502,41.714645,-86.24269167,circle1,brown,502,237.6,31/70,b827ebf014ce,1539093860,-79,,,
503,41.714645,-86.24270167,circle1,brown,503,238.5,25/70,b827ebf014ce,1539093863,-82,,,
504,41.71463833,-86.24267,circle1,brown,504,239.3,26/70,b827ebf014ce,1539093866,-87,,,
505,41.71460667,-86.24265667,circle1,brown,505,238.6,23/70,b827ebf014ce,1539093869,-82,,,
506,41.714565,-86.242635,circle1,brown,506,238.2,27/70,b827ebf014ce,1539093872,-80,,,
507,41.71454833,-86.24260667,circle1,brown,507,240.5,27/70,b827ebf014ce,1539093875,-79,,,
508,41.71452,-86.24262,circle1,brown,508,242.6,27/70,b827ebf014ce,1539093878,-77,,,
509,41.71450833,-86.24264167,circle1,brown,509,243.7,25/70,b827ebf014ce,1539093882,-79,,,
510,41.71451,-86.24263333,circle1,brown,510,246.5,30/70,b827ebf014ce,1539093885,-82,,,
511,41.714515,-86.242625,circle1,brown,511,249.4,22/70,b827ebf014ce,1539093888,-82,,,
512,41.71454333,-86.24261,circle1,brown,512,251.4,23/70,b827ebf014ce,1539093891,-86,,,
513,41.71459833,-86.24259833,circle1,brown,513,252.4,24/70,b827ebf014ce,1539093894,-87,,,
514,41.71466667,-86.242565,circle1,brown,514,253.9,31/70,b827ebf014ce,1539093897,-79,,,
515,41.71476167,-86.24251667,circle1,brown,515,255.3,27/70,b827ebf014ce,1539093900,-73,,,
516,41.714815,-86.24253333,circle1,brown,516,256.8,35/70,b827ebf014ce,1539093904,-81,,,
517,41.71487167,-86.242545,circle1,brown,517,259.2,34/70,b827ebf014ce,1539093907,-78,,,
518,41.71489,-86.24252833,circle1,brown,518,261,35/70,b827ebf014ce,1539093910,-73,,,
519,41.71486167,-86.24245,circle1,brown,519,261.6,34/70,b827ebf014ce,1539093913,-78,,,
520,41.71481833,-86.24233833,circle1,brown,520,260.3,22/70,b827ebf014ce,1539093916,-91,,,
521,41.71475167,-86.24224167,circle1,brown,521,256.2,19/70,b827ebf014ce,1539093919,-91,,,
522,41.71471167,-86.24216167,circle1,brown,522,256.4,32/70,b827ebf014ce,1539093923,-84,,,
523,41.71470333,-86.24204667,circle1,brown,523,259.2,36/70,b827ebf014ce,1539093926,-82,,,
524,41.71469333,-86.24200333,circle1,brown,524,259,39/70,b827ebf014ce,1539093929,-72,,,
525,41.714665,-86.24195,circle1,brown,525,259.2,34/70,b827ebf014ce,1539093932,-78,,,
526,41.714715,-86.24194667,circle1,brown,526,256.9,28/70,b827ebf014ce,1539093935,-80,,,
527,41.71473833,-86.24186,circle1,brown,527,256.4,25/70,b827ebf014ce,1539093939,-74,,,
528,41.71474833,-86.24180833,circle1,brown,528,255.3,32/70,b827ebf014ce,1539093942,-77,,,
529,41.714645,-86.241855,circle1,brown,529,251.2,36/70,b827ebf014ce,1539093945,-79,,,
530,41.71452167,-86.24196167,circle1,brown,530,244.4,38/70,b827ebf014ce,1539093948,-70,,,
531,41.71443833,-86.241985,circle1,brown,531,235.1,42/70,b827ebf014ce,1539093951,-76,,,
532,41.714425,-86.24194167,circle1,brown,532,230.4,25/70,b827ebf014ce,1539093955,-77,,,
533,41.71442167,-86.24193667,circle1,brown,533,226.5,26/70,b827ebf014ce,1539093958,-84,,,
534,41.714435,-86.24195833,circle1,brown,534,224.5,27/70,b827ebf014ce,1539093961,-83,,,
535,41.71443667,-86.24196,circle1,brown,535,224.9,25/70,b827ebf014ce,1539093964,-86,,,
536,41.71443833,-86.24196,circle1,brown,536,224.9,29/70,b827ebf014ce,1539093967,-81,,,
537,41.71443833,-86.24196,circle1,brown,537,224.9,26/70,b827ebf014ce,1539093970,-84,,,
538,41.71443667,-86.24196,circle1,brown,538,224.9,26/70,b827ebf014ce,1539093974,-84,,,
539,41.71443667,-86.24196,circle1,brown,539,225,28/70,b827ebf014ce,1539093977,-82,,,
540,41.71443833,-86.24195833,circle1,brown,540,225,25/70,b827ebf014ce,1539093980,-85,,,
541,41.71443833,-86.24196,circle1,brown,541,225,28/70,b827ebf014ce,1539093983,-82,,,
542,41.71443667,-86.24196,circle1,brown,542,225,26/70,b827ebf014ce,1539093986,-82,,,
543,41.71443667,-86.24196,circle1,brown,543,225.1,27/70,b827ebf014ce,1539093989,-81,,,
