pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
31,41.73981,-86.09923,circle1,yellow,225.5,70/70,b827eb96b93c,1539731288,0
37,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731307,0
38,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731310,0
39,41.73980833,-86.09924,circle1,yellow,226.6,70/70,b827eb96b93c,1539731314,0
40,41.73980833,-86.09924,circle1,yellow,226.6,70/70,b827eb96b93c,1539731317,0
41,41.73980833,-86.09924,circle1,yellow,226.6,70/70,b827eb96b93c,1539731320,0
60,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731380,0
61,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731383,0
64,41.73980833,-86.09924167,circle1,yellow,226.7,70/70,b827eb96b93c,1539731393,0
65,41.73980833,-86.09924167,circle1,yellow,226.8,70/70,b827eb96b93c,1539731396,0
70,41.73980667,-86.09938333,circle1,yellow,229.3,70/70,b827eb96b93c,1539731412,0
72,41.7398,-86.09939667,circle1,yellow,230.5,70/70,b827eb96b93c,1539731419,0
73,41.73982167,-86.09940167,circle1,yellow,231,70/70,b827eb96b93c,1539731422,0
74,41.73986833,-86.09941167,circle1,yellow,231.7,70/70,b827eb96b93c,1539731425,0
75,41.73990333,-86.09942167,circle1,yellow,232,70/70,b827eb96b93c,1539731428,0
76,41.73994333,-86.099425,circle1,yellow,232.2,70/70,b827eb96b93c,1539731431,0
77,41.73998,-86.09942833,circle1,yellow,232.3,70/70,b827eb96b93c,1539731434,0
82,41.740055,-86.09965333,circle1,yellow,232.1,70/70,b827eb96b93c,1539731450,0
3,41.73981667,-86.09921,circle1,blue,237.5,70/70,b827ebefdb50,1539709208,-14
4,41.73981,-86.099225,circle1,blue,235.6,70/70,b827ebefdb50,1539709211,-14
5,41.73980833,-86.09923,circle1,blue,235.3,70/70,b827ebefdb50,1539709214,-18
6,41.73980667,-86.09923667,circle1,blue,235.4,70/70,b827ebefdb50,1539709218,-19
7,41.73980667,-86.09924167,circle1,blue,235.7,70/70,b827ebefdb50,1539731227,-16
8,41.73980833,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731230,-13
9,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731234,-14
10,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731237,-44
11,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731240,-17
12,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731243,-17
13,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731246,-13
14,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731249,-14
15,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731253,-14
16,41.73980333,-86.09925333,circle1,blue,235.5,70/70,b827ebefdb50,1539731256,-14
17,41.7398,-86.09926167,circle1,blue,235.1,70/70,b827ebefdb50,1539731259,-16
18,41.7398,-86.09926333,circle1,blue,234.9,70/70,b827ebefdb50,1539731262,-17
19,41.73979833,-86.09927,circle1,blue,234.9,70/70,b827ebefdb50,1539731265,-17
20,41.73979667,-86.09927,circle1,blue,234.8,70/70,b827ebefdb50,1539731269,-16
21,41.73979667,-86.09927,circle1,blue,234.9,70/70,b827ebefdb50,1539731272,-14
22,41.73979667,-86.09927,circle1,blue,234.9,70/70,b827ebefdb50,1539731275,-15
23,41.739795,-86.09927,circle1,blue,235,70/70,b827ebefdb50,1539731278,-17
24,41.739795,-86.09927167,circle1,blue,235.1,70/70,b827ebefdb50,1539731281,-13
25,41.73979167,-86.09927333,circle1,blue,235,70/70,b827ebefdb50,1539731284,-13
26,41.73979,-86.099275,circle1,blue,234.8,70/70,b827ebefdb50,1539731288,-13
27,41.73978833,-86.09927833,circle1,blue,234.4,70/70,b827ebefdb50,1539731291,-13
28,41.739785,-86.09928167,circle1,blue,234,70/70,b827ebefdb50,1539731294,-14
29,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731297,-13
30,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731300,-16
31,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731303,-15
32,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731307,-15
33,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731310,-17
34,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731313,-13
35,41.73978333,-86.099285,circle1,blue,233.8,66/70,b827ebefdb50,1539731316,-14
36,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731319,-17
37,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731323,-17
38,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731326,-15
39,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731329,-14
40,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731332,-14
41,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731335,-14
42,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731338,-13
43,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731342,-13
44,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731345,-14
45,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731348,-13
46,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731351,-17
47,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731354,-17
48,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731358,-16
49,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731361,-14
50,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731364,-14
51,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731367,-17
52,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731370,-17
53,41.73978167,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731373,-18
54,41.73978167,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731377,-17
55,41.73978167,-86.099285,circle1,blue,233.8,62/70,b827ebefdb50,1539731380,-16
56,41.73978167,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731383,-15
