pibs_payload/msg_num,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/wifi_qual,pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/wifi_sig
61,41.739745,-86.09928833,circle1,red,231.6,70/70,b827eb1e211c,1539731381,-11
62,41.73974333,-86.09928833,circle1,red,231.6,70/70,b827eb1e211c,1539731384,-11
63,41.73974167,-86.09929,circle1,red,231.5,70/70,b827eb1e211c,1539731387,-12
64,41.73974167,-86.09929,circle1,red,231.5,70/70,b827eb1e211c,1539731391,-11
65,41.73974167,-86.09929,circle1,red,231.5,68/70,b827eb1e211c,1539731394,-39
66,41.73974167,-86.09929,circle1,red,231.5,70/70,b827eb1e211c,1539731397,-44
67,41.73974167,-86.09929,circle1,red,231.5,67/70,b827eb1e211c,1539731400,-40
68,41.73974167,-86.09929,circle1,red,231.5,67/70,b827eb1e211c,1539731403,-42
69,41.73974333,-86.09929333,circle1,red,231.5,64/70,b827eb1e211c,1539731406,-45
70,41.73974667,-86.09935167,circle1,red,231,67/70,b827eb1e211c,1539731410,-47
71,41.73975,-86.09937333,circle1,red,230.5,67/70,b827eb1e211c,1539731413,-44
72,41.73976167,-86.09938667,circle1,red,229.9,64/70,b827eb1e211c,1539731416,-56
73,41.73979667,-86.09940167,circle1,red,229.8,53/70,b827eb1e211c,1539731419,-57
74,41.739835,-86.099405,circle1,red,230.1,59/70,b827eb1e211c,1539731422,-48
75,41.73989,-86.09940333,circle1,red,230.3,68/70,b827eb1e211c,1539731426,-44
76,41.73992167,-86.0994,circle1,red,230.6,62/70,b827eb1e211c,1539731429,-43
77,41.73998333,-86.0994,circle1,red,231.4,58/70,b827eb1e211c,1539731432,-47
78,41.74002833,-86.09940167,circle1,red,232.4,52/70,b827eb1e211c,1539731435,-60
79,41.740065,-86.0994,circle1,red,233.3,47/70,b827eb1e211c,1539731438,-66
80,41.74013333,-86.0994,circle1,red,235.1,51/70,b827eb1e211c,1539731441,-64
81,41.74019,-86.099375,circle1,red,236.5,41/70,b827eb1e211c,1539731445,-67
82,41.74021667,-86.09937333,circle1,red,236.9,39/70,b827eb1e211c,1539731448,-61
83,41.74026333,-86.09937333,circle1,red,237.5,30/70,b827eb1e211c,1539731451,-72
84,41.74030333,-86.09937,circle1,red,237.9,36/70,b827eb1e211c,1539731454,-74
85,41.740345,-86.099375,circle1,red,238,30/70,b827eb1e211c,1539731457,-80
86,41.7404,-86.09938833,circle1,red,238.4,35/70,b827eb1e211c,1539731461,-79
87,41.74044,-86.09938667,circle1,red,238.8,27/70,b827eb1e211c,1539731464,-83
88,41.74047833,-86.09938167,circle1,red,239,26/70,b827eb1e211c,1539731467,-83
89,41.74052,-86.09938333,circle1,red,239.3,22/70,b827eb1e211c,1539731470,-88
90,41.74054667,-86.09938333,circle1,red,239.7,22/70,b827eb1e211c,1539731473,-88
91,41.74061,-86.09937833,circle1,red,240.1,24/70,b827eb1e211c,1539731476,-91
92,41.74064667,-86.09938,circle1,red,240.4,22/70,b827eb1e211c,1539731480,-88
93,41.74067,-86.09937833,circle1,red,240.5,24/70,b827eb1e211c,1539731483,-86
94,41.74071833,-86.09937833,circle1,red,240.5,23/70,b827eb1e211c,1539731486,-87
95,41.740755,-86.09937667,circle1,red,240.3,23/70,b827eb1e211c,1539731489,-87
96,41.74079167,-86.099375,circle1,red,239.8,23/70,b827eb1e211c,1539731492,-87
97,41.74083,-86.09938167,circle1,red,238.7,16/70,b827eb1e211c,1539731496,-90
98,41.74087167,-86.09938167,circle1,red,238.7,16/70,b827eb1e211c,1539731499,-94
99,41.74092833,-86.099375,circle1,red,239.3,21/70,b827eb1e211c,1539731502,-94
100,41.74097833,-86.09936667,circle1,red,239.6,21/70,b827eb1e211c,1539731505,-89
101,41.741015,-86.099355,circle1,red,239.4,20/70,b827eb1e211c,1539731508,-90
102,41.74108,-86.09935167,circle1,red,238.5,17/70,b827eb1e211c,1539731511,-93
103,41.74112167,-86.099355,circle1,red,237.7,17/70,b827eb1e211c,1539731515,-93
104,41.741145,-86.09935833,circle1,red,238.1,17/70,b827eb1e211c,1539731518,-93
105,41.74119167,-86.09936667,circle1,red,238.9,17/70,b827eb1e211c,1539731521,-93
106,41.74122333,-86.099375,circle1,red,239.3,17/70,b827eb1e211c,1539731524,-93
107,41.74125833,-86.09937667,circle1,red,239.2,17/70,b827eb1e211c,1539731527,-93
108,41.74129333,-86.09937667,circle1,red,238.9,17/70,b827eb1e211c,1539731530,-93
109,41.74131833,-86.099375,circle1,red,239.1,17/70,b827eb1e211c,1539731534,-93
110,41.74138,-86.09937667,circle1,red,239.9,17/70,b827eb1e211c,1539731537,-93
111,41.74141833,-86.09937833,circle1,red,240,17/70,b827eb1e211c,1539731540,-93
112,41.74144167,-86.09937833,circle1,red,239.9,17/70,b827eb1e211c,1539731543,-93
113,41.74148333,-86.09938167,circle1,red,240.2,17/70,b827eb1e211c,1539731546,-93
114,41.74151333,-86.09938167,circle1,red,241.4,17/70,b827eb1e211c,1539731549,-93
115,41.741545,-86.09937667,circle1,red,241.7,17/70,b827eb1e211c,1539731553,-93
116,41.74159333,-86.09937333,circle1,red,240.9,17/70,b827eb1e211c,1539731556,-93
117,41.74163333,-86.09937333,circle1,red,240.6,17/70,b827eb1e211c,1539731559,-93
118,41.74167333,-86.09937667,circle1,red,240.3,19/70,b827eb1e211c,1539731562,-91
119,41.74171167,-86.09937833,circle1,red,239.5,22/70,b827eb1e211c,1539731565,-88
120,41.74173667,-86.09938,circle1,red,239.3,24/70,b827eb1e211c,1539731568,-87
121,41.74180333,-86.09938167,circle1,red,239.4,17/70,b827eb1e211c,1539731572,-93
122,41.74184333,-86.09938333,circle1,red,239,25/70,b827eb1e211c,1539731575,-85
123,41.74186833,-86.09938167,circle1,red,238.8,22/70,b827eb1e211c,1539731578,-88
124,41.74191833,-86.09937333,circle1,red,238.8,22/70,b827eb1e211c,1539731581,-88
125,41.741945,-86.09934167,circle1,red,238.5,22/70,b827eb1e211c,1539731584,-88
126,41.74195667,-86.099295,circle1,red,238.5,22/70,b827eb1e211c,1539731587,-88
127,41.74195833,-86.099225,circle1,red,238.6,22/70,b827eb1e211c,1539731591,-88
128,41.741955,-86.09917333,circle1,red,238.2,22/70,b827eb1e211c,1539731594,-88
129,41.74195167,-86.09912333,circle1,red,237.8,22/70,b827eb1e211c,1539731597,-88
130,41.74195167,-86.099075,circle1,red,237.5,22/70,b827eb1e211c,1539731600,-88
131,41.74195167,-86.09904333,circle1,red,237.4,22/70,b827eb1e211c,1539731603,-88
132,41.74195667,-86.09895,circle1,red,237.4,22/70,b827eb1e211c,1539731607,-88
133,41.74195333,-86.098895,circle1,red,237.3,22/70,b827eb1e211c,1539731610,-88
134,41.74195,-86.09885667,circle1,red,237.3,22/70,b827eb1e211c,1539731613,-88
135,41.74194167,-86.09878667,circle1,red,237.5,22/70,b827eb1e211c,1539731616,-88
136,41.741935,-86.09873167,circle1,red,237.6,22/70,b827eb1e211c,1539731619,-88
137,41.741925,-86.09867833,circle1,red,237.7,22/70,b827eb1e211c,1539731622,-88
138,41.74191333,-86.09861,circle1,red,237.3,22/70,b827eb1e211c,1539731626,-88
139,41.74190333,-86.098575,circle1,red,236.7,22/70,b827eb1e211c,1539731629,-88
140,41.74188333,-86.098505,circle1,red,236.4,22/70,b827eb1e211c,1539731632,-88
141,41.741865,-86.09845667,circle1,red,236.1,22/70,b827eb1e211c,1539731635,-88
142,41.74185333,-86.09842333,circle1,red,236.2,22/70,b827eb1e211c,1539731638,-88
143,41.74182833,-86.09835833,circle1,red,236,22/70,b827eb1e211c,1539731641,-88
144,41.7418,-86.09829833,circle1,red,236,22/70,b827eb1e211c,1539731644,-88
145,41.74178667,-86.09826833,circle1,red,236.1,22/70,b827eb1e211c,1539731648,-88
146,41.74175167,-86.09821333,circle1,red,236.2,22/70,b827eb1e211c,1539731651,-88
147,41.74172667,-86.09817333,circle1,red,236.1,22/70,b827eb1e211c,1539731654,-88
148,41.7417,-86.09813833,circle1,red,235.9,28/70,b827eb1e211c,1539731657,-86
149,41.74167333,-86.09810167,circle1,red,235.9,25/70,b827eb1e211c,1539731660,-85
6092,41.739497,-86.099026,circle1,brown,777,25/70,b827eb4667a8,1539731155,-85
6094,41.739497,-86.099026,circle1,brown,777,20/70,b827eb4667a8,1539731161,-91
6097,41.739497,-86.099026,circle1,brown,777,16/70,b827eb4667a8,1539731170,-92
6099,41.739497,-86.099026,circle1,brown,777,17/70,b827eb4667a8,1539731177,-91
6102,41.739497,-86.099026,circle1,brown,777,18/70,b827eb4667a8,1539731186,-92
3,41.73980667,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731200,0
4,41.73980667,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731203,0
5,41.73980833,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731206,0
6,41.73980833,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731209,0
7,41.73980833,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731212,0
8,41.73980833,-86.099245,circle1,yellow,226.3,70/70,b827eb96b93c,1539731215,0
9,41.73980833,-86.099245,circle1,yellow,226.4,70/70,b827eb96b93c,1539731219,0
10,41.73980833,-86.099245,circle1,yellow,226.4,70/70,b827eb96b93c,1539731222,0
11,41.73980833,-86.099245,circle1,yellow,226.4,70/70,b827eb96b93c,1539731225,0
12,41.73980833,-86.099245,circle1,yellow,226.4,70/70,b827eb96b93c,1539731228,0
18,41.73981167,-86.09923833,circle1,yellow,226.4,70/70,b827eb96b93c,1539731247,0
19,41.73981167,-86.09923833,circle1,yellow,226.4,70/70,b827eb96b93c,1539731250,0
20,41.73981167,-86.09923667,circle1,yellow,226.2,70/70,b827eb96b93c,1539731253,0
33,41.73980833,-86.09923833,circle1,yellow,226.3,70/70,b827eb96b93c,1539731295,0
34,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731298,0
35,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731301,0
36,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731304,0
37,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731307,0
38,41.73980833,-86.09924,circle1,yellow,226.5,70/70,b827eb96b93c,1539731310,0
39,41.73980833,-86.09924,circle1,yellow,226.6,70/70,b827eb96b93c,1539731314,0
40,41.73980833,-86.09924,circle1,yellow,226.6,70/70,b827eb96b93c,1539731317,0
41,41.73980833,-86.09924,circle1,yellow,226.6,70/70,b827eb96b93c,1539731320,0
55,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731364,0
59,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731377,0
60,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731380,0
61,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731383,0
62,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731387,0
63,41.73980833,-86.09924,circle1,yellow,226.7,70/70,b827eb96b93c,1539731390,0
64,41.73980833,-86.09924167,circle1,yellow,226.7,70/70,b827eb96b93c,1539731393,0
65,41.73980833,-86.09924167,circle1,yellow,226.8,70/70,b827eb96b93c,1539731396,0
66,41.73980833,-86.09924,circle1,yellow,226.8,70/70,b827eb96b93c,1539731399,0
68,41.73981333,-86.099295,circle1,yellow,227.8,70/70,b827eb96b93c,1539731406,0
69,41.73980833,-86.09935167,circle1,yellow,228.9,70/70,b827eb96b93c,1539731409,0
70,41.73980667,-86.09938333,circle1,yellow,229.3,70/70,b827eb96b93c,1539731412,0
71,41.7398,-86.09939833,circle1,yellow,230.4,70/70,b827eb96b93c,1539731415,0
82,41.740055,-86.09965333,circle1,yellow,232.1,70/70,b827eb96b93c,1539731450,0
84,41.74004833,-86.099765,circle1,yellow,232.2,70/70,b827eb96b93c,1539731457,0
85,41.74004833,-86.09983333,circle1,yellow,232.3,70/70,b827eb96b93c,1539731460,0
86,41.74005,-86.09988667,circle1,yellow,232.4,70/70,b827eb96b93c,1539731463,0
89,41.74005333,-86.10004167,circle1,yellow,232.7,70/70,b827eb96b93c,1539731473,0
4,41.73981,-86.099225,circle1,blue,235.6,70/70,b827ebefdb50,1539709211,-14
7,41.73980667,-86.09924167,circle1,blue,235.7,70/70,b827ebefdb50,1539731227,-16
11,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731240,-17
12,41.73980667,-86.09924667,circle1,blue,236.1,70/70,b827ebefdb50,1539731243,-17
16,41.73980333,-86.09925333,circle1,blue,235.5,70/70,b827ebefdb50,1539731256,-14
19,41.73979833,-86.09927,circle1,blue,234.9,70/70,b827ebefdb50,1539731265,-17
20,41.73979667,-86.09927,circle1,blue,234.8,70/70,b827ebefdb50,1539731269,-16
21,41.73979667,-86.09927,circle1,blue,234.9,70/70,b827ebefdb50,1539731272,-14
22,41.73979667,-86.09927,circle1,blue,234.9,70/70,b827ebefdb50,1539731275,-15
23,41.739795,-86.09927,circle1,blue,235,70/70,b827ebefdb50,1539731278,-17
24,41.739795,-86.09927167,circle1,blue,235.1,70/70,b827ebefdb50,1539731281,-13
28,41.739785,-86.09928167,circle1,blue,234,70/70,b827ebefdb50,1539731294,-14
29,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731297,-13
30,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731300,-16
31,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731303,-15
32,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731307,-15
33,41.73978333,-86.09928333,circle1,blue,233.8,70/70,b827ebefdb50,1539731310,-17
34,41.73978333,-86.099285,circle1,blue,233.8,70/70,b827ebefdb50,1539731313,-13
35,41.73978333,-86.099285,circle1,blue,233.8,66/70,b827ebefdb50,1539731316,-14
